2025-03-19 00:17:52 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:17:52 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:18:16 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:18:16 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:19:39 [INFO]: Cached train 16444 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.9879, -8.9661), TTL: 59760s
2025-03-19 00:19:39 [INFO]: Cached train 16446 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 61560s
2025-03-19 00:19:39 [INFO]: Cached train 16448 - Status: COMPLETED, Delay: 10 min, Coordinates: (38.98803720643709, -8.96623042230807), TTL: 63360s
2025-03-19 00:19:39 [INFO]: Cached train 16450 - Status: COMPLETED, Delay: 9 min, Coordinates: (38.98791244, -8.966061218), TTL: 65160s
2025-03-19 00:19:40 [INFO]: Cached train 16452 - Status: COMPLETED, Delay: 5 min, Coordinates: (38.98791244, -8.966061218), TTL: 66960s
2025-03-19 00:19:40 [INFO]: Cached train 16454 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.9874, -8.9665), TTL: 68760s
2025-03-19 00:19:40 [INFO]: Cached train 16456 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791244, -8.966061218), TTL: 70560s
2025-03-19 00:19:40 [INFO]: Cached train 16458 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 72360s
2025-03-19 00:19:40 [INFO]: Cached train 16460 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 74160s
2025-03-19 00:19:40 [INFO]: Cached train 16462 - Status: COMPLETED, Delay: 1 min, Coordinates: (38.98791244, -8.966061218), TTL: 75960s
2025-03-19 00:19:40 [INFO]: Cached train 16464 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 79560s
2025-03-19 00:19:41 [INFO]: Cached train 16466 - Status: IN_TRANSIT, Delay: 1 min, Coordinates: (38.9825213, -8.9701181), TTL: 5s
2025-03-19 00:19:41 [INFO]: Cached train 16500 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 16560s
2025-03-19 00:19:41 [INFO]: Cached train 16502 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 20940s
2025-03-19 00:19:41 [INFO]: Cached train 16504 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 24540s
2025-03-19 00:19:41 [INFO]: Cached train 120 - Status: COMPLETED, Delay: -1 min, Coordinates: (38.71584, -9.120748), TTL: 33600s
2025-03-19 00:19:41 [INFO]: Cached train 16506 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 26340s
2025-03-19 00:19:42 [INFO]: Cached train 121 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 27600s
2025-03-19 00:19:42 [INFO]: Cached train 16508 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 28140s
2025-03-19 00:19:42 [INFO]: Cached train 123 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31200s
2025-03-19 00:19:42 [INFO]: Cached train 16510 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 29940s
2025-03-19 00:19:42 [INFO]: Cached train 122 - Status: COMPLETED, Delay: -1 min, Coordinates: (38.71584, -9.120748), TTL: 40800s
2025-03-19 00:19:42 [INFO]: Cached train 16512 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31740s
2025-03-19 00:19:42 [INFO]: Cached train 128 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 26400s
2025-03-19 00:19:43 [INFO]: Cached train 16514 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 33540s
2025-03-19 00:19:43 [INFO]: Cached train 130 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 20520s
2025-03-19 00:19:43 [INFO]: Cached train 16516 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 35340s
2025-03-19 00:19:43 [INFO]: Cached train 131 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 24000s
2025-03-19 00:19:43 [INFO]: Processed 50 of 1375 trains
2025-03-19 00:19:43 [INFO]: Cached train 16518 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 37140s
2025-03-19 00:19:43 [INFO]: Cached train 132 - Status: COMPLETED, Delay: 29 min, Coordinates: (38.71696299999999, -9.119572), TTL: 45720s
2025-03-19 00:19:44 [INFO]: Cached train 16520 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 38940s
2025-03-19 00:19:44 [INFO]: Cached train 133 - Status: COMPLETED, Delay: 12 min, Coordinates: (41.548595, -8.434369), TTL: 49200s
2025-03-19 00:19:44 [INFO]: Cached train 16522 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.70743461, -9.17323799), TTL: 40740s
2025-03-19 00:19:44 [INFO]: Cached train 135 - Status: COMPLETED, Delay: 5 min, Coordinates: (41.5486889, -8.4342769), TTL: 56400s
2025-03-19 00:19:44 [INFO]: Cached train 16524 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 42540s
2025-03-19 00:19:45 [INFO]: Cached train 134 - Status: COMPLETED, Delay: 3 min, Coordinates: (38.7159622, -9.12054), TTL: 63720s
2025-03-19 00:19:45 [INFO]: Cached train 16526 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 44340s
2025-03-19 00:19:45 [INFO]: Cached train 137 - Status: COMPLETED, Delay: 19 min, Coordinates: (41.548595, -8.434369), TTL: 63600s
2025-03-19 00:19:45 [INFO]: Cached train 16528 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 46140s
2025-03-19 00:19:45 [INFO]: Cached train 136 - Status: COMPLETED, Delay: -1 min, Coordinates: (38.71584, -9.120748), TTL: 70920s
2025-03-19 00:19:45 [INFO]: Cached train 16530 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.70743461, -9.17323799), TTL: 47940s
2025-03-19 00:19:45 [INFO]: Cached train 16532 - Status: COMPLETED, Delay: 3 min, Coordinates: (38.70743461, -9.17323799), TTL: 49740s
2025-03-19 00:19:46 [INFO]: Cached train 16534 - Status: COMPLETED, Delay: 6 min, Coordinates: (38.70949643539942, -9.173105901976387), TTL: 51540s
2025-03-19 00:19:46 [INFO]: Cached train 16536 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 53340s
2025-03-19 00:19:46 [INFO]: Cached train 16538 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.70987777265535, -9.173187864695365), TTL: 55140s
2025-03-19 00:19:46 [INFO]: Cached train 16540 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 56940s
2025-03-19 00:19:46 [INFO]: Cached train 16542 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.7078155, -9.1731615), TTL: 58740s
2025-03-19 00:19:46 [INFO]: Cached train 16544 - Status: COMPLETED, Delay: 5 min, Coordinates: (38.7088046, -9.1729549), TTL: 60540s
2025-03-19 00:19:47 [INFO]: Cached train 16546 - Status: COMPLETED, Delay: 6 min, Coordinates: (38.70947278127627, -9.173101683162367), TTL: 62340s
2025-03-19 00:19:47 [INFO]: Cached train 16548 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.71, -9.1732), TTL: 64140s
2025-03-19 00:19:47 [INFO]: Cached train 16550 - Status: COMPLETED, Delay: 14 min, Coordinates: (38.70743461, -9.17323799), TTL: 65940s
2025-03-19 00:19:47 [INFO]: Cached train 16552 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.70743461, -9.17323799), TTL: 67740s
2025-03-19 00:19:47 [INFO]: Cached train 16554 - Status: COMPLETED, Delay: N/A min, Coordinates: (38.70743461, -9.17323799), TTL: 69540s
2025-03-19 00:19:47 [INFO]: Cached train 16556 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.707436, -9.173238), TTL: 71340s
2025-03-19 00:19:48 [INFO]: Cached train 16558 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 73140s
2025-03-19 00:19:48 [INFO]: Cached train 16560 - Status: COMPLETED, Delay: N/A min, Coordinates: (38.707436, -9.173238), TTL: 74940s
